Title,Task_Force,Year_Implemented,Country,Proposal_Summary
"(Re-)integration of DPRK astronomers in the international research community",1,2013,"DPRK China       ","The most pressing need for the development of professional astronomy in the DPRK is professional training. In this context, we propose to initiate an exchange and training programme between Pyongyang Astronomical Observatory (PAO) and counterparts in China and eventually Europe, monitored by the East Asian node of the Office of Astronomy for Development. PAO representatives have already reached agreement in principle to send junior researchers (postdocs or junior faculty members) to the National Astronomical Observatories of the Chinese Academy of Sciences (NAOC) and the Kavli Institute for Astronomy and Astrophysics (KIAA) at Peking University, both in Beijing. We request funding to enable two junior researchers, selected by PAO, to spend one year in China, where they will be immersed in scientific research (and training) at an internationally competitive level. Upon their return to the DPRK, they will act as mentors to their colleagues there. In addition, during the year-long exchange visit, we anticipate that the junior researchers from the DPRK will be actively involved in research projects at the host institutes, which will eventually lead to publications in the international peer- reviewed literature. We also seek travel funding for visits of DPRK students and researchers to institutes outside Asia, once suitable host organisations have been identified."
"Astronomy lectures for university students and teachers in Accra, Ghana",1,2013,"Ghana        ","A workshop for astronomy development will be offered at the Planetarium in Accra to University students and teachers from all over Ghana and neighbouring countries – Burkina Faso, Senegal, Nigeria.  The goal of the workshop is to bring together University students and international astronomy educators to promote and encourage the higher level study of Astronomy and make a contribution  to taking it forward as part of the country’s development in science and technology.  Possible routes into higher studies and career paths will be discussed. This workshop will be an importnant step towards reducing the “knowledge gap” between students and researchers in this region and those in other parts of the world where highly-developed astronomy research facilities exist. This school will happen right after the week-long workshop for school teachers (twinned proposal that was submitted to TF2).  Some participants for the university workshop (week 2) can attend the workshop for school teachers (week 1)."
"Guatemalan School of Astrophysics",1,2013,"Guatemala        ","We want to launch the GUAtemalan School of Astrophysics (GUASA), to be held in a rural area of Guatemala every two years. The school aims to bring together local Central American/Caribbean undergraduate students of physics/mathematics/engeneering, with experts from prestigious astronomical institutions from around the world. During each of its editions, we expect to cover a wide range of modern topics of astrophysics in order to motivate the students to pursue major degrees in astronomy elsewhere. We hope that this school will contribute to create a critical mass of professional astronomers/astrophysicists in the region along with the conditions needed for research, thus leading to the creation of strong astrophysics departments in the Universities of the region. In the future, after a few editions of GUASA, we hope to be able to include lecturers from the local academic community. As a complementary activity of every edition of GUASA, we also want to organize outreach activities for the general public, such as public lectures followed by observations using small telescopes. These activities we hope, will encourage children and teenagers to get closer to science and to continue their studies aiming for superior education."
"MENA Regional Summer School: ""Astronomy with Small Telescopes"" ",1,2013,"Lebanon        ","Small telescopes are optimal for the developing world. They can be used for public outreach, education, and with the proper instrumentation, astronomical research. The MENA region holds many observatories and projects equipped with small telescopes. Lebanon's first small facility will be online late 2012.
We, thus, plan to have a regional summer school on astronomy with small telescopes in late August 2013 in Lebanon. The school is intended for advanced physics students, and graduate students in physics and astronomy, It aims to show how small telescopes can be used in astronomical research. It will provide basic training on the use of small telescopes and present the science that is doable with such instruments. The capacity of the school will be 40 students. Instructors will be astronomers from Lebanon, the region, and from Europe and North America.
The program of the school will assume the existence of a basic level in physics appropriate to advanced physics undergraduates, and minimal formal knowledge of astronomy. It will cover topics related to galaxies, stars, solar system objects, exoplanets, from the viewpoint of small telescopes. The school’s lectures will be at a level accessible to advanced undergraduate students in physics."
"National Workshop on Astronomy & Astrophysics (NWAA2013), Kathmandu, Nepal",1,2013,"Nepal        ","The Central Department of Physics, Tribhuvan University has been helping to bring the world of Astronomy & Astrophysics to interested Nepalese students since 2008 by offering Astrophysics as an elective course in the Master's level. No separate department or institute of A&A is established till date in Nepal. In spite of this, more than 250 M.Sc. (Physics) students have chosen ‘Astrophysics’ as an elective paper. These students are studying in the eight different colleges all around the country. All these colleges are affiliated with Tribhuvan University. Till date 74 masters’ thesis have been completed in Astrophysics. A few of masters’ theses are published in the Journals MNRAS, A&A, and Ap&SS (detail below). At present, three graduates are involved in Ph.D. and 16 are doing research work for their master’s thesis in the department. The research areas are galaxy evolution, dust structures around PNe, White Dwarfs and Pulsars, chirality of large scale structure, modeling galaxy rotation curve and observational work (16 inch Schmidt Telescope). Additional Information regarding publications, past and present on-going Ph.D. research and M.Sc. dissertation work are available in http://astronepal.webs.com. We also have a few experiences of collaborative work and organizing/hosting conferences in the various aspects of A&A in the past.
Keeping aspiration of young students in mind, we have decided to organize a workshop in order to provide an extensive learning environment. We intend to provide an exposure to the virtual observatories, database, software and basic programming language which is commonly used in astrophysical research. Our aim is to make students familiar with the process of problem identification as well as problem solving procedure. The workshop is mainly for photometry and spectrometry. For this, we use the data available in the ADS/SIMBAD/NED/SkyView. We will focus on infrared and X-ray astronomy and use IRAS images and XMM Newton spectra using software AstroLinux, ALADIN and MATLAB (below for details).
This workshop will be organized by the Central Department of Physics, Tribhuvan University in its premises at Kirtipur, Kathmandu during 14-18 April 2013 and supported by Ministry of S&T National Academy of S&T, Nepal Physical Society and Astrophysics and Cosmology Research Group. The purpose of this workshop is to bring together experienced as well as young students who are interested in working actively on various important aspects of Astronomy & Astrophysics using the data available in the internet."
"Starlight in the university lab 2013",1,2013,"Nigeria Zambie       ","The project aims at fully developing and implementing a research tutorial, Astrolab, in universities in need of astronomy infrastructure and curriculum, allowing undergraduate students in sciences to perform real-time observations on a remote telescope, and transforming those observations into a scientific result.
The goal of this project is twofold :
a) to introduce students to the scientific research method in general by working scientifically through project development and preparation, data acquisition and treatment, analysis and conclusions.
b) to enhance interest in science studies by making them more attractive and getting the students involved in the “learning”.
The level is that of science students at an introductory astronomy course (1st or 2nd BSc), but can be adapted downwards as well as upwards.
Astrolab is implemented at the Vrije Universiteit Brussel since 4 years.
This project is a pilot one: it will first be developed in 2 partner universities, and after a test period of 3 years it could be implemented in various other universities."
"Strengthening Astronomy Resercah at University in Rwanda (Phase 1)",1,2013,"Rwanda        ","During the year 2009, IAU donated 5 computers to help students and Lecturers to learn and use astronomy softwares. The computers run completely on linux. With these computers, KIE students have now a possibility to choose astronomy/space science for their undergraduate final year research projects.
In order to make these computers more useful, a permanent astronomy research team is needed. In fact, as we have already entered in the era where Astronomy research can be done locally even in the developing countries using online data mining (some of these data are semi or completely reduced ). In order to make use of these data, there is a need to have a research team trained on various softwares for data reduction to ensure quality in data handling and interpretation.
In addition, following the growing initiatives to build telescopes in East Africa e.g. the Entoto Optical observatory project (in Ethiopia) and the extension of the SKA radio dishes up to Kenya, research teams need to be introduced at universities to make use (for long term) of the data output of these infrastructures. In these regards, there will be opportunity to get data for our own planned objects.
In this project (phase I), we intend to build an astrophysics research team in Rwanda. The phase II will consist at extending it to the whole region an build a pana-East-African multi-wavelength research team which will be able to reduce multi-wavelength photometric and spectroscopic data (Radio, Optical, X-ray, gamma-rays).
In this phase ONE, we intend a two-week workshop in which we will invite visiting astronomers to train the members of the research team (Lecturers doing research in Astrophysics and related sciences in Rwanda) on the proper use of softwares of handling the data. Equal emphasis in the first phase will be also put in the consolidation of a theoretical background on the understanding and analysing the spectroscopic and photometric properties of stars and galaxies. These lectures will be allocated 2-3 hours every morning, the first week being on “stars and galaxies” and the second week being on extragalactic objects. The rest of the hours of the days will be allocated to introduce the available data and missions, study softwares e.g. IRAF, HEASOFT and other plotting data softwares like TOPCAT etc. Participation of astronomers of the region will be encouraged."
"An astronomical kit for the visually impaired",2,2013,"Developing Countries In Southamerica Developing Countries In Africa Developing Countries In Asia      ","The goal is to develop a kit with different astronomical activities to help communicators and teachers in reaching children with visual impairments. The kit will consist of: (a) ""The sky in your hands"", a planetarium program with original soundtrack in various languages, and a half-sphere with constellations engraved in it, (b) a booklet of activities to be carried out with the planetarium half-sphere, (c) a tactile 3D Moon specially designed for the visually impaired, along with a booklet of Moon activities, (d) one set of the FETTU braille sheets with an activity guide, and (e) a book on tactile astronomy. The kit will be sent to developing countries through the Universe Awerness (UNAWE), Astronomers without Borders (AWB) and Global Hands-On Universe (GHOU) networks of national points of contact in those regions or countries. Depending on the amount of funding available, we are planning to send initially 10 kits to Asia, 10 to Africa and 8 to Southamerica. Another 2 will be carried around by the Galileo Mobile project to difficult to reach regions of the world."
"Astronomical measurements in Ancient Greece",2,2013,"Greece        ","Although it is not widely known to students and the public, the ancient Greek philosophers had made a number of accurate astronomical measurements and created successful models in an effort to describe the wonders of the Cosmos. With the power of the human mind they carried out reasonable estimates of the sizes of the earth, the moon and the sun and the distances of the sun and moon from the earth.  This project’s aim is two-fold. Firstly it aims at bringing this knowledge to the secondary education students, who, by carrying out these measurements, will appreciate how an innovative mind can explore the universe from our little planet. The students will carry on exploring the universe beyond the earth, moon and sun and by analysing their observations will evolve their knowledge on the universe and change any alternative ideas held to the scientific accepted ones. Secondly, it is this project’s aim to support these students in reaching out the community and spreading this knowledge to the public so that everyone can realize that the cosmos is not far out of reach but is within everybody’s grasp to explore it even from their own backyard, as the Ancient Greek astronomers did.  The first goal will be accomplished by incorporating the project in the context of the Spring Term course of the Greek curriculum called “Project” of the 16-year-old secondary students. Within this course the students will learn the fundamental elements of earth and sky motion, will restore any misconceptions inherited by their surroundings, will carry out the aforementioned measurements and will make observations of the sun at normal class hours and sky observations at evening sessions. The second aim will be accomplished by supporting these students along with invited university experts to present their techniques and findings at a series of public lectures and workshops to the students of the other schools of the district and the local community during the local cultural festivities in the summer of 2013.  Astronomy project classes will continue in the Fall Term 2013 when the students will expand their knowledge beyond the local neighbourhood by carrying out observations and astrophotography of the wonders of the Cosmos around us. All the project’s actions will be disseminated to the world via a special area in the school’s web site thus producing a legacy of astronomical observations for the next generations.
"
"Galileo Teacher Training Program (GTTP) Nepal",2,2013,"Nepal        ","In Nepal, astronomy is included in the school syllabus and a very few related contents are included in the higher level education. Teachers in the schools are the general science graduates, usually not experts in astronomy. It indicates the need of a teacher training event for the educators. Teachers are  also the easy way of reaching hundreds of young kids and in a way to the society.  We plan to invest our effort in teachers and in astronomy educators. GTTP has been organized in Nepal since 2010. Almost 60 teachers have got the opportunity in past. In 2013, the training event will be of two days including lectures, workshops and a night sky observation program. Speakers from the universities or from Nepal Astronomical Society (NASO) will be invited. Participants are invited from different schools from different regions of the country. Some travel supports will be available for needy participants. Science communicators are also welcomed in the event. We include the basic concepts of astronomy, some hands on activities, and a workshop on astronomy software in the event. An observation program will be organized at the end of the event day using 8” skywatcher telescope owned by Nepal Astronomical Society (NASO). At the end of the event, all the participants are expected to have clear concepts on basic astronomy topics and knowledge of hands on activities which can be carried out in classrooms. We also expect the participants to start using basic astronomy software in their class rooms and their knowledge to popularize astronomy/science in their community. "
